"v","e","s","t"
10000,4999500,1,164323
10000,4999500,2,1608946661
10000,4999500,3,1609212608
10000,4999500,0,2605749476
10000,4999500,1,161341
10000,4999500,2,1581036404
10000,4999500,3,1581307046
10000,4999500,0,2592368108
10000,4999500,1,158865
10000,4999500,2,1585213384
10000,4999500,3,1585476273
10000,4999500,0,2595111979
10000,4999500,1,167947
10000,4999500,2,1613802173
10000,4999500,3,1614075011
10000,4999500,0,2593137131
10000,4999500,1,161881
10000,4999500,2,1598474175
10000,4999500,3,1598740418
10000,4999500,0,2595938849
10000,4999500,1,157865
10000,4999500,2,1618466136
10000,4999500,3,1618727733
10000,4999500,0,2584442981
10000,4999500,1,161506
10000,4999500,2,1598307755
10000,4999500,3,1598572335
10000,4999500,0,2579515902
10000,4999500,1,161355
10000,4999500,2,1684580448
10000,4999500,3,1684848230
10000,4999500,0,2617109255
10000,4999500,1,160112
10000,4999500,2,1612875693
10000,4999500,3,1613140380
10000,4999500,0,2597966662
10000,4999500,1,158682
10000,4999500,2,1616335211
10000,4999500,3,1616598239
10000,4999500,0,2589351243
10000,4999500,1,158223
10000,4999500,2,1639399475
10000,4999500,3,1639663400
10000,4999500,0,2604454046
10000,4999500,1,157669
10000,4999500,2,1572504248
10000,4999500,3,1572771799
10000,4999500,0,2596923901
10000,4999500,1,160722
10000,4999500,2,1694309104
10000,4999500,3,1694576371
10000,4999500,0,2586977213
10000,4999500,1,158126
10000,4999500,2,1680840617
10000,4999500,3,1681103326
10000,4999500,0,2601197512
10000,4999500,1,160621
10000,4999500,2,1785587611
10000,4999500,3,1785856774
10000,4999500,0,2589332657
10000,4999500,1,162094
10000,4999500,2,1611466637
10000,4999500,3,1611731894
10000,4999500,0,2592537458
10000,4999500,1,160450
10000,4999500,2,1604173152
10000,4999500,3,1604442775
10000,4999500,0,2589023627
10000,4999500,1,160965
10000,4999500,2,1628429296
10000,4999500,3,1628696778
10000,4999500,0,2593850031
10000,4999500,1,169324
10000,4999500,2,1583513418
10000,4999500,3,1583788087
10000,4999500,0,2585089039
10000,4999500,1,160878
10000,4999500,2,1631726661
10000,4999500,3,1631990486
10000,4999500,0,2600219324
10000,4999500,1,162050
10000,4999500,2,1719167481
10000,4999500,3,1719436005
10000,4999500,0,2598081868
10000,4999500,1,162332
10000,4999500,2,1582459273
10000,4999500,3,1582723931
10000,4999500,0,2601296059
10000,4999500,1,160005
10000,4999500,2,1579183468
10000,4999500,3,1579448676
10000,4999500,0,2600436219
10000,4999500,1,160559
10000,4999500,2,1600483527
10000,4999500,3,1600747367
10000,4999500,0,2597484151
10000,4999500,1,162085
10000,4999500,2,1587518391
10000,4999500,3,1587782632
10000,4999500,0,2588329265
10000,4999500,1,161698
10000,4999500,2,1644374008
10000,4999500,3,1644640980
10000,4999500,0,2578506780
10000,4999500,1,160270
10000,4999500,2,1643263348
10000,4999500,3,1643528501
10000,4999500,0,2589164420
10000,4999500,1,160247
10000,4999500,2,1603048009
