"v","e","s","t"
10000,49995000,2,1128758134
10000,49995000,3,1138507860
10000,49995000,0,202145779426
10000,49995000,1,2816884
10000,49995000,2,1123927639
10000,49995000,3,1131323844
10000,49995000,0,196335076584
10000,49995000,1,3122921
10000,49995000,2,1182681934
10000,49995000,3,1189240302
10000,49995000,0,210630223559
10000,49995000,1,2944674
10000,49995000,2,1129539120
10000,49995000,3,1137452177
10000,49995000,0,207212410678
10000,49995000,1,3173100
10000,49995000,2,1093996854
10000,49995000,3,1101310735
10000,49995000,0,207495730443
10000,49995000,1,2896834
10000,49995000,2,1109809641
10000,49995000,3,1116553997
10000,49995000,0,199254796199
10000,49995000,1,3243748
10000,49995000,2,1119142132
10000,49995000,3,1125854407
10000,49995000,0,196756032660
10000,49995000,1,3001746
10000,49995000,2,1085404423
10000,49995000,3,1091882999
10000,49995000,0,194032136923
10000,49995000,1,2882405
10000,49995000,2,1181410853
10000,49995000,3,1188155940
10000,49995000,0,206469496907
10000,49995000,1,6344710
10000,49995000,2,1223975933
10000,49995000,3,1235810756
10000,49995000,0,199925615050
10000,49995000,1,3203262
10000,49995000,2,1148422783
10000,49995000,3,1155457340
10000,49995000,0,203743404556
10000,49995000,1,3640707
10000,49995000,2,1249736193
10000,49995000,3,1257281857
10000,49995000,0,194087590379
10000,49995000,1,3017621
10000,49995000,2,1130148912
10000,49995000,3,1136932732
10000,49995000,0,207970043274
10000,49995000,1,2924807
10000,49995000,2,1134012601
10000,49995000,3,1140805162
10000,49995000,0,207404572196
10000,49995000,1,3193160
10000,49995000,2,1196459371
10000,49995000,3,1203285837
10000,49995000,0,200874596698
10000,49995000,1,3021065
10000,49995000,2,1183395211
10000,49995000,3,1189953318
10000,49995000,0,194251173272
10000,49995000,1,3107292
10000,49995000,2,1207341489
10000,49995000,3,1213848289
10000,49995000,0,213707748344
10000,49995000,1,3026670
10000,49995000,2,1243859313
10000,49995000,3,1252922667
10000,49995000,0,197070817777
10000,49995000,1,5269802
10000,49995000,2,1186550703
10000,49995000,3,1195783549
10000,49995000,0,194132918036
10000,49995000,1,3637294
10000,49995000,2,1216869036
10000,49995000,3,1224632468
10000,49995000,0,201843616959
10000,49995000,1,3591624
10000,49995000,2,1222600025
10000,49995000,3,1231673108
10000,49995000,0,210405825948
10000,49995000,1,3072511
10000,49995000,2,1145258903
10000,49995000,3,1152182804
10000,49995000,0,206334690645
10000,49995000,1,3058837
10000,49995000,2,1101956024
10000,49995000,3,1108498696
10000,49995000,0,201047083115
10000,49995000,1,2991153
10000,49995000,2,1122041192
10000,49995000,3,1128834113
10000,49995000,0,200251850406
10000,49995000,1,2947985
10000,49995000,2,1144684556
10000,49995000,3,1151409343
10000,49995000,0,201738266761
10000,49995000,1,9036375
10000,49995000,2,1215059221
10000,49995000,3,1228039444
10000,49995000,0,194711315421
10000,49995000,1,2911775
10000,49995000,2,1251751102
10000,49995000,3,1258055864
10000,49995000,0,213332411268
10000,49995000,1,5696210
10000,49995000,2,1081283199
10000,49995000,3,1092401744
10000,4999500,0,18221056787
10000,4999500,1,3069334
10000,4999500,2,719913560
10000,4999500,3,726389068
10000,4999500,0,17657302985
10000,4999500,1,2924524
10000,4999500,2,705225492
10000,4999500,3,711579507
10000,4999500,0,17725289836
10000,4999500,1,6118704
10000,4999500,2,702333648
10000,4999500,3,712421637
10000,4999500,0,17054516318
10000,4999500,1,2979255
10000,4999500,2,723079087
10000,4999500,3,729511593
10000,4999500,0,17605706162
10000,4999500,1,3109421
10000,4999500,2,749010393
10000,4999500,3,755551358
10000,4999500,0,17572462479
10000,4999500,1,3293845
10000,4999500,2,714461358
10000,4999500,3,721270904
10000,4999500,0,17557663656
10000,4999500,1,2924354
10000,4999500,2,698210399
10000,4999500,3,704571478
10000,4999500,0,17717892821
10000,4999500,1,3190245
10000,4999500,2,699173881
10000,4999500,3,705844053
10000,4999500,0,17720303579
10000,4999500,1,3896461
10000,4999500,2,712152284
10000,4999500,3,719412695
10000,4999500,0,16968698564
10000,4999500,1,3019638
10000,4999500,2,709523213
10000,4999500,3,716024942
10000,4999500,0,17558062186
